,productivity,utility,coverage,harmonic_mean
krušnohorské,0.2,0.1333,0.0009,0.0017
kraj,0.2,0.1333,0.0009,0.0017
malířů,0.2,0.1333,0.0009,0.0017
kořist,0.2,0.1333,0.0009,0.0017
končí,0.2,0.1333,0.0009,0.0017
"zemím,",0.2,0.1333,0.0009,0.0017
matematiky,0.2,0.1333,0.0009,0.0017
lidem,0.2,0.1333,0.0009,0.0017
liberijský,0.2,0.1333,0.0009,0.0017
květinová,0.2,0.1333,0.0009,0.0017
menšina,0.2,0.1333,0.0009,0.0017
latinskoamerickému,0.2,0.1333,0.0009,0.0017
lanovky,0.2,0.1333,0.0009,0.0017
mešitu,0.2,0.1333,0.0009,0.0017
letušek,0.2,0.1333,0.0009,0.0017
minulost,0.2,0.1333,0.0009,0.0017
maturity,0.2,0.1333,0.0009,0.0017
mizení,0.2,0.1333,0.0009,0.0017
mluvčím,0.2,0.1333,0.0009,0.0017
mnohá,0.2,0.1333,0.0009,0.0017
kúry,0.2,0.1333,0.0009,0.0017
zbytku,0.2,0.1333,0.0009,0.0017
kúru,0.2,0.1333,0.0009,0.0017
květnu,0.2,0.1333,0.0009,0.0017
letů,0.2,0.1333,0.0009,0.0017
mostě,0.2,0.1333,0.0009,0.0017
motivuje,0.2,0.1333,0.0009,0.0017
maďarským,0.2,0.1333,0.0009,0.0017
"majitele,",0.2,0.1333,0.0009,0.0017
kontrolují,0.2,0.1333,0.0009,0.0017
měsíc,0.2,0.1333,0.0009,0.0017
kariéru,0.2,0.1333,0.0009,0.0017
kandidáta,0.2,0.1333,0.0009,0.0017
nebyla,0.2,0.1333,0.0009,0.0017
"nechce,",0.2,0.1333,0.0009,0.0017
zavede,0.2,0.1333,0.0009,0.0017
kampani,0.2,0.1333,0.0009,0.0017
zatýkání,0.2,0.1333,0.0009,0.0017
lyžařská,0.2,0.1333,0.0009,0.0017
jméno,0.2,0.1333,0.0009,0.0017
loňském,0.2,0.1333,0.0009,0.0017
nedůvěřuje,0.2,0.1333,0.0009,0.0017
nehodlá,0.2,0.1333,0.0009,0.0017
nejezdil,0.2,0.1333,0.0009,0.0017
jiný,0.2,0.1333,0.0009,0.0017
jiné,0.2,0.1333,0.0009,0.0017
nejnovějšími,0.2,0.1333,0.0009,0.0017
zastřelen,0.2,0.1333,0.0009,0.0017
nebezpečné,0.2,0.1333,0.0009,0.0017
každou,0.2,0.1333,0.0009,0.0017
klesly,0.2,0.1333,0.0009,0.0017
napsala,0.2,0.1333,0.0009,0.0017
nahromadění,0.2,0.1333,0.0009,0.0017
nakonec,0.2,0.1333,0.0009,0.0017
kontrolovat,0.2,0.1333,0.0009,0.0017
konflikt,0.2,0.1333,0.0009,0.0017
konal,0.2,0.1333,0.0009,0.0017
namalovat,0.2,0.1333,0.0009,0.0017
knihu,0.2,0.1333,0.0009,0.0017
vybudovat,0.2,0.1333,0.0009,0.0017
letišti,0.2,0.1333,0.0009,0.0017
zbavení,0.2,0.1333,0.0009,0.0017
zařízení,0.2,0.1333,0.0009,0.0017
zemědělská,0.2,0.1333,0.0009,0.0017
lístky,0.2,0.1333,0.0009,0.0017
navigační,0.2,0.1333,0.0009,0.0017
navrhl,0.2,0.1333,0.0009,0.0017
začalo,0.2,0.1333,0.0009,0.0017
zemi,0.1,0.0667,0.0009,0.0017
objem,0.1,0.0667,0.0009,0.0017
dorazilo,0.05,0.0167,0.0009,0.0017
vyšetřila,0.1,0.0667,0.0004,0.0009
vůdce,0.1,0.0667,0.0004,0.0009
zastává,0.1,0.0667,0.0004,0.0009
vyhnout,0.1,0.0667,0.0004,0.0009
zkušenosti,0.1,0.0667,0.0004,0.0009
vybudování,0.1,0.0667,0.0004,0.0009
vychází,0.1,0.0667,0.0004,0.0009
významnou,0.1,0.0667,0.0004,0.0009
živými,0.1,0.0667,0.0004,0.0009
významného,0.1,0.0667,0.0004,0.0009
ztíží,0.1,0.0667,0.0004,0.0009
zmírnit,0.1,0.0667,0.0004,0.0009
vědcem,0.1,0.0667,0.0004,0.0009
výskyt,0.1,0.0667,0.0004,0.0009
Žádný,0.1,0.0667,0.0004,0.0009
západem,0.1,0.0667,0.0004,0.0009
větších,0.1,0.0667,0.0004,0.0009
vzkvétaly,0.1,0.0667,0.0004,0.0009
vězněného,0.1,0.0667,0.0004,0.0009
švýcarská,0.1,0.0667,0.0004,0.0009
zlatým,0.1,0.0667,0.0004,0.0009
zemského,0.1,0.0667,0.0004,0.0009
škodu,0.1,0.0667,0.0004,0.0009
částkou,0.1,0.0667,0.0004,0.0009
zahynulo,0.1,0.0667,0.0004,0.0009
zahájena,0.1,0.0667,0.0004,0.0009
zakázaný,0.1,0.0667,0.0004,0.0009
vyváženost,0.1,0.0667,0.0004,0.0009
člena,0.1,0.0667,0.0004,0.0009
českým,0.1,0.0667,0.0004,0.0009
válečným,0.1,0.0667,0.0004,0.0009
vytvoří,0.1,0.0667,0.0004,0.0009
útok,0.1,0.0667,0.0004,0.0009
založená,0.1,0.0667,0.0004,0.0009
zbořeno,0.1,0.0667,0.0004,0.0009
zamezila,0.1,0.0667,0.0004,0.0009
zaměstance,0.1,0.0667,0.0004,0.0009
začíná,0.1,0.0667,0.0004,0.0009
začal,0.1,0.0667,0.0004,0.0009
zaznamenává,0.1,0.0667,0.0004,0.0009
zaznamenaly,0.1,0.0667,0.0004,0.0009
zaznamenal,0.1,0.0667,0.0004,0.0009
zavinil,0.1,0.0667,0.0004,0.0009
zaměstnání,0.1,0.0667,0.0004,0.0009
Československo,0.1,0.0667,0.0004,0.0009
výběrového,0.1,0.0667,0.0004,0.0009
Českolovenska,0.1,0.0667,0.0004,0.0009
zastavit,0.1,0.0667,0.0004,0.0009
Čechová,0.1,0.0667,0.0004,0.0009
částečně,0.1,0.0667,0.0004,0.0009
úspěch,0.1,0.0667,0.0004,0.0009
zemím,0.1,0.0667,0.0004,0.0009
čínské,0.1,0.0667,0.0004,0.0009
vyčerpáním,0.1,0.0667,0.0004,0.0009
výkonem,0.1,0.0667,0.0004,0.0009
zabito,0.1,0.0667,0.0004,0.0009
šedesátých,0.1,0.0667,0.0004,0.0009
vztahů,0.1,0.0667,0.0004,0.0009
zůstal,0.1,0.0667,0.0004,0.0009
Štěpánka,0.1,0.0667,0.0004,0.0009
Španělská,0.1,0.0667,0.0004,0.0009
vyhoštění,0.1,0.0667,0.0004,0.0009
zastánci,0.1,0.0667,0.0004,0.0009
zejména,0.1,0.0667,0.0004,0.0009
řádech,0.1,0.0667,0.0004,0.0009
řeší,0.1,0.0667,0.0004,0.0009
Ázerbajdžánu,0.1,0.0667,0.0004,0.0009
zacházet,0.1,0.0667,0.0004,0.0009
vyhýbají,0.1,0.0667,0.0004,0.0009
zadrželi,0.1,0.0667,0.0004,0.0009
řekl,0.1,0.0667,0.0004,0.0009
východě,0.1,0.0667,0.0004,0.0009
zbrojních,0.1,0.0667,0.0004,0.0009
Ředitelkou,0.1,0.0667,0.0004,0.0009
Řediteli,0.1,0.0667,0.0004,0.0009
únosy,0.1,0.0667,0.0004,0.0009
válečného,0.1,0.0667,0.0004,0.0009
vylepšeným,0.1,0.0667,0.0004,0.0009
vyrobit,0.1,0.0667,0.0004,0.0009
"""zbrani",0.1,0.0667,0.0004,0.0009
vstříc,0.1,0.0667,0.0004,0.0009
divadel,0.1,0.0667,0.0004,0.0009
být,0.1,0.0667,0.0004,0.0009
bývalé,0.1,0.0667,0.0004,0.0009
bývalých,0.1,0.0667,0.0004,0.0009
běžce,0.1,0.0667,0.0004,0.0009
celoživotní,0.1,0.0667,0.0004,0.0009
což,0.1,0.0667,0.0004,0.0009
"církve,",0.1,0.0667,0.0004,0.0009
dcera,0.1,0.0667,0.0004,0.0009
demonstranti,0.1,0.0667,0.0004,0.0009
demonstrující,0.1,0.0667,0.0004,0.0009
diktátor,0.1,0.0667,0.0004,0.0009
dodává,0.1,0.0667,0.0004,0.0009
Spojených,0.1,0.0667,0.0004,0.0009
dolní,0.1,0.0667,0.0004,0.0009
domů,0.1,0.0667,0.0004,0.0009
doprovázené,0.1,0.0667,0.0004,0.0009
dostaly,0.1,0.0667,0.0004,0.0009
došlo,0.1,0.0667,0.0004,0.0009
dílo,0.1,0.0667,0.0004,0.0009
dílčí,0.1,0.0667,0.0004,0.0009
děsivou,0.1,0.0667,0.0004,0.0009
emeritním,0.1,0.0667,0.0004,0.0009
energetického,0.1,0.0667,0.0004,0.0009
energii,0.1,0.0667,0.0004,0.0009
bučovického,0.1,0.0667,0.0004,0.0009
budí,0.1,0.0667,0.0004,0.0009
bránit,0.1,0.0667,0.0004,0.0009
britským,0.1,0.0667,0.0004,0.0009
Spor,0.1,0.0667,0.0004,0.0009
Stryker,0.1,0.0667,0.0004,0.0009
"Sulawesi,",0.1,0.0667,0.0004,0.0009
Tematická,0.1,0.0667,0.0004,0.0009
Ukrajiny,0.1,0.0667,0.0004,0.0009
Umělé,0.1,0.0667,0.0004,0.0009
Viktorem,0.1,0.0667,0.0004,0.0009
Vínu,0.1,0.0667,0.0004,0.0009
Zoubek,0.1,0.0667,0.0004,0.0009
"Zoubek,",0.1,0.0667,0.0004,0.0009
Zástupci,0.1,0.0667,0.0004,0.0009
adresu,0.1,0.0667,0.0004,0.0009
akademiky,0.1,0.0667,0.0004,0.0009
aliance,0.1,0.0667,0.0004,0.0009
architekti,0.1,0.0667,0.0004,0.0009
armádu,0.1,0.0667,0.0004,0.0009
asijkým,0.1,0.0667,0.0004,0.0009
autem,0.1,0.0667,0.0004,0.0009
autobusem,0.1,0.0667,0.0004,0.0009
autorem,0.1,0.0667,0.0004,0.0009
boje,0.1,0.0667,0.0004,0.0009
bojových,0.1,0.0667,0.0004,0.0009
bomb,0.1,0.0667,0.0004,0.0009
evropský,0.1,0.0667,0.0004,0.0009
evropským,0.1,0.0667,0.0004,0.0009
evropskými,0.1,0.0667,0.0004,0.0009
jazykovědce,0.1,0.0667,0.0004,0.0009
jedné,0.1,0.0667,0.0004,0.0009
jejímž,0.1,0.0667,0.0004,0.0009
jižní,0.1,0.0667,0.0004,0.0009
jižním,0.1,0.0667,0.0004,0.0009
jmenuje,0.1,0.0667,0.0004,0.0009
kapitolu,0.1,0.0667,0.0004,0.0009
klid,0.1,0.0667,0.0004,0.0009
komora,0.1,0.0667,0.0004,0.0009
komunismu,0.1,0.0667,0.0004,0.0009
komunistikcou,0.1,0.0667,0.0004,0.0009
komunity,0.1,0.0667,0.0004,0.0009
konala,0.1,0.0667,0.0004,0.0009
koncentračním,0.1,0.0667,0.0004,0.0009
konvoje,0.1,0.0667,0.0004,0.0009
"konvoje,",0.1,0.0667,0.0004,0.0009
končila,0.1,0.0667,0.0004,0.0009
"korun,",0.1,0.0667,0.0004,0.0009
korunu,0.1,0.0667,0.0004,0.0009
kritizován,0.1,0.0667,0.0004,0.0009
kterém,0.1,0.0667,0.0004,0.0009
květin,0.1,0.0667,0.0004,0.0009
křesťana,0.1,0.0667,0.0004,0.0009
křečemi,0.1,0.0667,0.0004,0.0009
jednali,0.1,0.0667,0.0004,0.0009
izraelskými,0.1,0.0667,0.0004,0.0009
farmáři,0.1,0.0667,0.0004,0.0009
iráckého,0.1,0.0667,0.0004,0.0009
festivaly,0.1,0.0667,0.0004,0.0009
figurují,0.1,0.0667,0.0004,0.0009
for,0.1,0.0667,0.0004,0.0009
generálním,0.1,0.0667,0.0004,0.0009
gobelínová,0.1,0.0667,0.0004,0.0009
gobelíny,0.1,0.0667,0.0004,0.0009
gobelínů,0.1,0.0667,0.0004,0.0009
gruzínský,0.1,0.0667,0.0004,0.0009
historicky,0.1,0.0667,0.0004,0.0009
hlasování,0.1,0.0667,0.0004,0.0009
hlavní,0.1,0.0667,0.0004,0.0009
hlavních,0.1,0.0667,0.0004,0.0009
hostovalo,0.1,0.0667,0.0004,0.0009
hotelu,0.1,0.0667,0.0004,0.0009
hradecké,0.1,0.0667,0.0004,0.0009
hranice,0.1,0.0667,0.0004,0.0009
hrou,0.1,0.0667,0.0004,0.0009
hrálo,0.1,0.0667,0.0004,0.0009
humanismus,0.1,0.0667,0.0004,0.0009
humanistů,0.1,0.0667,0.0004,0.0009
inspektorů,0.1,0.0667,0.0004,0.0009
interprety,0.1,0.0667,0.0004,0.0009
irského,0.1,0.0667,0.0004,0.0009
Spojenými,0.1,0.0667,0.0004,0.0009
Spisovatel,0.1,0.0667,0.0004,0.0009
vstup,0.1,0.0667,0.0004,0.0009
Jednatel,0.1,0.0667,0.0004,0.0009
Galerii,0.1,0.0667,0.0004,0.0009
Gruzie,0.1,0.0667,0.0004,0.0009
Grégr,0.1,0.0667,0.0004,0.0009
Haagu,0.1,0.0667,0.0004,0.0009
Houghtonem,0.1,0.0667,0.0004,0.0009
Humvee,0.1,0.0667,0.0004,0.0009
Hölzl,0.1,0.0667,0.0004,0.0009
"Indonésii,",0.1,0.0667,0.0004,0.0009
Inscenace,0.1,0.0667,0.0004,0.0009
Japonska,0.1,0.0667,0.0004,0.0009
Jeden,0.1,0.0667,0.0004,0.0009
Jedno,0.1,0.0667,0.0004,0.0009
Sofii,0.1,0.0667,0.0004,0.0009
Johnem,0.1,0.0667,0.0004,0.0009
Kaloňům,0.1,0.0667,0.0004,0.0009
Karabach,0.1,0.0667,0.0004,0.0009
Karin,0.1,0.0667,0.0004,0.0009
Kerela,0.1,0.0667,0.0004,0.0009
Kolumbii,0.1,0.0667,0.0004,0.0009
Koženým,0.1,0.0667,0.0004,0.0009
Kroměřížská,0.1,0.0667,0.0004,0.0009
Letech,0.1,0.0667,0.0004,0.0009
Letiště,0.1,0.0667,0.0004,0.0009
Litomyšli,0.1,0.0667,0.0004,0.0009
"Gabriel,",0.1,0.0667,0.0004,0.0009
"Freuda,",0.1,0.0667,0.0004,0.0009
Finančník,0.1,0.0667,0.0004,0.0009
Facebooku,0.1,0.0667,0.0004,0.0009
176,0.1,0.0667,0.0004,0.0009
2000,0.1,0.0667,0.0004,0.0009
"3,7",0.1,0.0667,0.0004,0.0009
5000,0.1,0.0667,0.0004,0.0009
56,0.1,0.0667,0.0004,0.0009
Afriky,0.1,0.0667,0.0004,0.0009
Ameriky,0.1,0.0667,0.0004,0.0009
Antonín,0.1,0.0667,0.0004,0.0009
Bagdádu,0.1,0.0667,0.0004,0.0009
Bahamy,0.1,0.0667,0.0004,0.0009
Bill,0.1,0.0667,0.0004,0.0009
Blízkém,0.1,0.0667,0.0004,0.0009
Británií,0.1,0.0667,0.0004,0.0009
"Bush,",0.1,0.0667,0.0004,0.0009
Bývalí,0.1,0.0667,0.0004,0.0009
Bělehradě,0.1,0.0667,0.0004,0.0009
COVID-19,0.1,0.0667,0.0004,0.0009
"Card,",0.1,0.0667,0.0004,0.0009
Charles,0.1,0.0667,0.0004,0.0009
Cheney,0.1,0.0667,0.0004,0.0009
Clinton,0.1,0.0667,0.0004,0.0009
Divadlo,0.1,0.0667,0.0004,0.0009
Egyptě,0.1,0.0667,0.0004,0.0009
Massachusettském,0.1,0.0667,0.0004,0.0009
Mexiko,0.1,0.0667,0.0004,0.0009
Mexičtí,0.1,0.0667,0.0004,0.0009
Perle,0.1,0.0667,0.0004,0.0009
Pinochet,0.1,0.0667,0.0004,0.0009
Plastika,0.1,0.0667,0.0004,0.0009
Plzni,0.1,0.0667,0.0004,0.0009
Pomník,0.1,0.0667,0.0004,0.0009
Premiér,0.1,0.0667,0.0004,0.0009
Pretorii,0.1,0.0667,0.0004,0.0009
Protipovodňové,0.1,0.0667,0.0004,0.0009
První,0.1,0.0667,0.0004,0.0009
Písku,0.1,0.0667,0.0004,0.0009
Přední,0.1,0.0667,0.0004,0.0009
Přidal,0.1,0.0667,0.0004,0.0009
Přituhuje,0.1,0.0667,0.0004,0.0009
Republiky,0.1,0.0667,0.0004,0.0009
Riceová,0.1,0.0667,0.0004,0.0009
Rock,0.1,0.0667,0.0004,0.0009
Rokoko,0.1,0.0667,0.0004,0.0009
S,0.1,0.0667,0.0004,0.0009
SSSR,0.1,0.0667,0.0004,0.0009
Sedm,0.1,0.0667,0.0004,0.0009
Severoatlantické,0.1,0.0667,0.0004,0.0009
Slavnost,0.1,0.0667,0.0004,0.0009
Slezského,0.1,0.0667,0.0004,0.0009
Sochu,0.1,0.0667,0.0004,0.0009
Petřínem,0.1,0.0667,0.0004,0.0009
People,0.1,0.0667,0.0004,0.0009
Michel,0.1,0.0667,0.0004,0.0009
Parlamentu,0.1,0.0667,0.0004,0.0009
Miroslav,0.1,0.0667,0.0004,0.0009
Moderního,0.1,0.0667,0.0004,0.0009
Moravská,0.1,0.0667,0.0004,0.0009
Muže,0.1,0.0667,0.0004,0.0009
Městské,0.1,0.0667,0.0004,0.0009
"NATO,",0.1,0.0667,0.0004,0.0009
Neználkovi,0.1,0.0667,0.0004,0.0009
Nigérii,0.1,0.0667,0.0004,0.0009
Nikolaje,0.1,0.0667,0.0004,0.0009
Nosova,0.1,0.0667,0.0004,0.0009
Náhorní,0.1,0.0667,0.0004,0.0009
Náměšť,0.1,0.0667,0.0004,0.0009
Národního,0.1,0.0667,0.0004,0.0009
Někdejší,0.1,0.0667,0.0004,0.0009
Německa,0.1,0.0667,0.0004,0.0009
"OSN,",0.1,0.0667,0.0004,0.0009
Objem,0.1,0.0667,0.0004,0.0009
Odklon,0.1,0.0667,0.0004,0.0009
Olomouce,0.1,0.0667,0.0004,0.0009
Opatření,0.1,0.0667,0.0004,0.0009
Opavě,0.1,0.0667,0.0004,0.0009
Oslavou,0.1,0.0667,0.0004,0.0009
Oteplování,0.1,0.0667,0.0004,0.0009
ligy,0.1,0.0667,0.0004,0.0009
lingvistu,0.1,0.0667,0.0004,0.0009
literaturu,0.1,0.0667,0.0004,0.0009
skupin,0.1,0.0667,0.0004,0.0009
rybníky,0.1,0.0667,0.0004,0.0009
rybníků,0.1,0.0667,0.0004,0.0009
sboru,0.1,0.0667,0.0004,0.0009
scén,0.1,0.0667,0.0004,0.0009
sedmi,0.1,0.0667,0.0004,0.0009
seniorní,0.1,0.0667,0.0004,0.0009
senátu,0.1,0.0667,0.0004,0.0009
sezony,0.1,0.0667,0.0004,0.0009
silnice,0.1,0.0667,0.0004,0.0009
skladu,0.1,0.0667,0.0004,0.0009
skončil,0.1,0.0667,0.0004,0.0009
skupiny,0.1,0.0667,0.0004,0.0009
literárních,0.1,0.0667,0.0004,0.0009
slovensko-maďarských,0.1,0.0667,0.0004,0.0009
slunci,0.1,0.0667,0.0004,0.0009
slyšet,0.1,0.0667,0.0004,0.0009
sobotu,0.1,0.0667,0.0004,0.0009
soubory,0.1,0.0667,0.0004,0.0009
soudem,0.1,0.0667,0.0004,0.0009
soudním,0.1,0.0667,0.0004,0.0009
soupeřů,0.1,0.0667,0.0004,0.0009
sousedícím,0.1,0.0667,0.0004,0.0009
soutěžích,0.1,0.0667,0.0004,0.0009
současný,0.1,0.0667,0.0004,0.0009
rozmnožováním,0.1,0.0667,0.0004,0.0009
ropného,0.1,0.0667,0.0004,0.0009
romské,0.1,0.0667,0.0004,0.0009
restaurování,0.1,0.0667,0.0004,0.0009
praktičtí,0.1,0.0667,0.0004,0.0009
prezidentů,0.1,0.0667,0.0004,0.0009
privatizaci,0.1,0.0667,0.0004,0.0009
probíhá,0.1,0.0667,0.0004,0.0009
propusil,0.1,0.0667,0.0004,0.0009
protektorátním,0.1,0.0667,0.0004,0.0009
"protějšek,",0.1,0.0667,0.0004,0.0009
práci,0.1,0.0667,0.0004,0.0009
průmyslu,0.1,0.0667,0.0004,0.0009
předloze,0.1,0.0667,0.0004,0.0009
představitelé,0.1,0.0667,0.0004,0.0009
překladatelské,0.1,0.0667,0.0004,0.0009
"převrat,",0.1,0.0667,0.0004,0.0009
přibývá,0.1,0.0667,0.0004,0.0009
připraven,0.1,0.0667,0.0004,0.0009
přirovnáno,0.1,0.0667,0.0004,0.0009
přivezla,0.1,0.0667,0.0004,0.0009
přímém,0.1,0.0667,0.0004,0.0009
případ,0.1,0.0667,0.0004,0.0009
příspěvěk,0.1,0.0667,0.0004,0.0009
příznivci,0.1,0.0667,0.0004,0.0009
reakci,0.1,0.0667,0.0004,0.0009
regionálních,0.1,0.0667,0.0004,0.0009
spolupracovali,0.1,0.0667,0.0004,0.0009
spolupracovat,0.1,0.0667,0.0004,0.0009
spořitelny,0.1,0.0667,0.0004,0.0009
trvá,0.1,0.0667,0.0004,0.0009
tvorbu,0.1,0.0667,0.0004,0.0009
táboře,0.1,0.0667,0.0004,0.0009
též,0.1,0.0667,0.0004,0.0009
těle,0.1,0.0667,0.0004,0.0009
těžších,0.1,0.0667,0.0004,0.0009
udržují,0.1,0.0667,0.0004,0.0009
ukradeni,0.1,0.0667,0.0004,0.0009
ukrajinkského,0.1,0.0667,0.0004,0.0009
ukrajinskou,0.1,0.0667,0.0004,0.0009
ukrajinský,0.1,0.0667,0.0004,0.0009
ukrýval,0.1,0.0667,0.0004,0.0009
umístit,0.1,0.0667,0.0004,0.0009
umístěna,0.1,0.0667,0.0004,0.0009
určené,0.1,0.0667,0.0004,0.0009
usilovat,0.1,0.0667,0.0004,0.0009
uskutečnil,0.1,0.0667,0.0004,0.0009
uskutečnily,0.1,0.0667,0.0004,0.0009
uzavřely,0.1,0.0667,0.0004,0.0009
učitelky,0.1,0.0667,0.0004,0.0009
velikosti,0.1,0.0667,0.0004,0.0009
vinný,0.1,0.0667,0.0004,0.0009
vodních,0.1,0.0667,0.0004,0.0009
vojáci,0.1,0.0667,0.0004,0.0009
tržby,0.1,0.0667,0.0004,0.0009
tribunál,0.1,0.0667,0.0004,0.0009
srážce,0.1,0.0667,0.0004,0.0009
tradici,0.1,0.0667,0.0004,0.0009
stal,0.1,0.0667,0.0004,0.0009
stanul,0.1,0.0667,0.0004,0.0009
státech,0.1,0.0667,0.0004,0.0009
státních,0.1,0.0667,0.0004,0.0009
stěny,0.1,0.0667,0.0004,0.0009
středních,0.1,0.0667,0.0004,0.0009
středního,0.1,0.0667,0.0004,0.0009
stříhá,0.1,0.0667,0.0004,0.0009
svalu,0.1,0.0667,0.0004,0.0009
svobodu,0.1,0.0667,0.0004,0.0009
symbolizuje,0.1,0.0667,0.0004,0.0009
syna,0.1,0.0667,0.0004,0.0009
synagogu,0.1,0.0667,0.0004,0.0009
"synagogu,",0.1,0.0667,0.0004,0.0009
sídle,0.1,0.0667,0.0004,0.0009
tajemníkem,0.1,0.0667,0.0004,0.0009
tanková,0.1,0.0667,0.0004,0.0009
tankové,0.1,0.0667,0.0004,0.0009
techniky,0.1,0.0667,0.0004,0.0009
technologickém,0.1,0.0667,0.0004,0.0009
terénních,0.1,0.0667,0.0004,0.0009
terčem,0.1,0.0667,0.0004,0.0009
"tom,",0.1,0.0667,0.0004,0.0009
požádal,0.1,0.0667,0.0004,0.0009
poškozením,0.1,0.0667,0.0004,0.0009
počtu,0.1,0.0667,0.0004,0.0009
narodila,0.1,0.0667,0.0004,0.0009
nastat,0.1,0.0667,0.0004,0.0009
natáčí,0.1,0.0667,0.0004,0.0009
navrahl,0.1,0.0667,0.0004,0.0009
navštívila,0.1,0.0667,0.0004,0.0009
navštívit,0.1,0.0667,0.0004,0.0009
nazvanou,0.1,0.0667,0.0004,0.0009
našlo,0.1,0.0667,0.0004,0.0009
nebezpečných,0.1,0.0667,0.0004,0.0009
nebo,0.1,0.0667,0.0004,0.0009
nechuť,0.1,0.0667,0.0004,0.0009
nedaří,0.1,0.0667,0.0004,0.0009
nedostávají,0.1,0.0667,0.0004,0.0009
nejrůznější,0.1,0.0667,0.0004,0.0009
nejúspěšnější,0.1,0.0667,0.0004,0.0009
nelze,0.1,0.0667,0.0004,0.0009
nemohl,0.1,0.0667,0.0004,0.0009
nenabývá,0.1,0.0667,0.0004,0.0009
nenavštěvoval,0.1,0.0667,0.0004,0.0009
neobyčejně,0.1,0.0667,0.0004,0.0009
neposkytl,0.1,0.0667,0.0004,0.0009
nepřátelskému,0.1,0.0667,0.0004,0.0009
nese,0.1,0.0667,0.0004,0.0009
nesouhlasil,0.1,0.0667,0.0004,0.0009
narušili,0.1,0.0667,0.0004,0.0009
napřed,0.1,0.0667,0.0004,0.0009
nevystavovat,0.1,0.0667,0.0004,0.0009
napadli,0.1,0.0667,0.0004,0.0009
lídr,0.1,0.0667,0.0004,0.0009
líčen,0.1,0.0667,0.0004,0.0009
majetek,0.1,0.0667,0.0004,0.0009
malého,0.1,0.0667,0.0004,0.0009
malých,0.1,0.0667,0.0004,0.0009
manufaktura,0.1,0.0667,0.0004,0.0009
maďarského,0.1,0.0667,0.0004,0.0009
mezinárodním,0.1,0.0667,0.0004,0.0009
milionu,0.1,0.0667,0.0004,0.0009
mimopražských,0.1,0.0667,0.0004,0.0009
minimalismu,0.1,0.0667,0.0004,0.0009
minulé,0.1,0.0667,0.0004,0.0009
mluví,0.1,0.0667,0.0004,0.0009
mláďata,0.1,0.0667,0.0004,0.0009
moderací,0.1,0.0667,0.0004,0.0009
mohou,0.1,0.0667,0.0004,0.0009
možným,0.1,0.0667,0.0004,0.0009
"muklů,",0.1,0.0667,0.0004,0.0009
muslimové,0.1,0.0667,0.0004,0.0009
muzea,0.1,0.0667,0.0004,0.0009
mírový,0.1,0.0667,0.0004,0.0009
místě,0.1,0.0667,0.0004,0.0009
měst,0.1,0.0667,0.0004,0.0009
neupravuje,0.1,0.0667,0.0004,0.0009
nevznikají,0.1,0.0667,0.0004,0.0009
pozornost,0.1,0.0667,0.0004,0.0009
opětovným,0.1,0.0667,0.0004,0.0009
osvobodilo,0.1,0.0667,0.0004,0.0009
ozbrojenců,0.1,0.0667,0.0004,0.0009
paliva,0.1,0.0667,0.0004,0.0009
panoval,0.1,0.0667,0.0004,0.0009
"papežům,",0.1,0.0667,0.0004,0.0009
parkem,0.1,0.0667,0.0004,0.0009
peněžitou,0.1,0.0667,0.0004,0.0009
podařilo,0.1,0.0667,0.0004,0.0009
podnítila,0.1,0.0667,0.0004,0.0009
podpora,0.1,0.0667,0.0004,0.0009
podporovatelé,0.1,0.0667,0.0004,0.0009
podpoře,0.1,0.0667,0.0004,0.0009
pohádku,0.1,0.0667,0.0004,0.0009
pokládá,0.1,0.0667,0.0004,0.0009
politická,0.1,0.0667,0.0004,0.0009
pomníku,0.1,0.0667,0.0004,0.0009
porazil,0.1,0.0667,0.0004,0.0009
poslancům,0.1,0.0667,0.0004,0.0009
posouvá,0.1,0.0667,0.0004,0.0009
postavami,0.1,0.0667,0.0004,0.0009
potkají,0.1,0.0667,0.0004,0.0009
"potvrdil,",0.1,0.0667,0.0004,0.0009
povodním,0.1,0.0667,0.0004,0.0009
oslavoval,0.1,0.0667,0.0004,0.0009
opatření,0.1,0.0667,0.0004,0.0009
neví,0.1,0.0667,0.0004,0.0009
okupované,0.1,0.0667,0.0004,0.0009
nevěnovali,0.1,0.0667,0.0004,0.0009
nikdo,0.1,0.0667,0.0004,0.0009
"ničení""",0.1,0.0667,0.0004,0.0009
novou,0.1,0.0667,0.0004,0.0009
nádrží,0.1,0.0667,0.0004,0.0009
nákladním,0.1,0.0667,0.0004,0.0009
nákladný,0.1,0.0667,0.0004,0.0009
návštěvu,0.1,0.0667,0.0004,0.0009
návštěvě,0.1,0.0667,0.0004,0.0009
něj,0.1,0.0667,0.0004,0.0009
některých,0.1,0.0667,0.0004,0.0009
objekty,0.1,0.0667,0.0004,0.0009
občanství,0.1,0.0667,0.0004,0.0009
občanů,0.1,0.0667,0.0004,0.0009
obžalovaným,0.1,0.0667,0.0004,0.0009
oceňuje,0.1,0.0667,0.0004,0.0009
ochrannou,0.1,0.0667,0.0004,0.0009
ochránily,0.1,0.0667,0.0004,0.0009
odměnu,0.1,0.0667,0.0004,0.0009
odsoudil,0.1,0.0667,0.0004,0.0009
odvětví,0.1,0.0667,0.0004,0.0009
